GeoFips,GeoName,2017,2018,2019,2020,2021,2022
27740,"Johnson City, TN (Metropolitan Statistical Area)",7311684,7446435,7651759,7689661,8241669,8359541
27780,"Johnstown, PA (Metropolitan Statistical Area)",4692840,4697005,4682004,4615588,4626528,4606726
27860,"Jonesboro, AR (Metropolitan Statistical Area)",5105989,5234530,5408759,5458361,5936950,5798774
27900,"Joplin, MO (Metropolitan Statistical Area)",7558956,7656330,7580755,7268671,7600313,7723879
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",9606468,10183573,10407877,8558733,9459908,9692556
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",13678676,14546835,14955523,15060387,16058496,16352859
28100,"Kankakee, IL (Metropolitan Statistical Area)",5940652,6332562,6262410,6140372,6679390,6876837
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",133753933,136390868,139724576,137218306,141666330,145950370
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",14688220,15221366,15745176,15402986,16192367,16207971
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",18366880,18495677,18834637,19166630,19966937,20162704
28700,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area) *",13292994,13679790,13316989,13289225,14303997,14831190
28740,"Kingston, NY (Metropolitan Statistical Area)",7233714,7326583,7630419,7196814,7429326,7659189
28940,"Knoxville, TN (Metropolitan Statistical Area)",43011276,44070389,44952370,45119424,48680233,50422455
29020,"Kokomo, IN (Metropolitan Statistical Area)",4279358,4391576,4386884,4135308,4497728,4951309
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",7962972,8098515,8213299,7905209,8136049,8117361
29180,"Lafayette, LA (Metropolitan Statistical Area)",21115560,22041983,21834533,20926340,21202980,21023124
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",11076645,11727598,11805244,11106663,11485626,12090003
29340,"Lake Charles, LA (Metropolitan Statistical Area)",16643123,16397626,16834958,13625578,14249067,13299124
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",5323399,5437354,5639351,5773611,6269010,6257347
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",25742485,26450032,27402843,28204116,29827560,30523799
29540,"Lancaster, PA (Metropolitan Statistical Area)",28779773,29307162,29549059,28301522,29558896,29968719
29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",25569757,26063562,26363111,26157187,27549292,28450372
29700,"Laredo, TX (Metropolitan Statistical Area)",11313473,10859468,11389246,11017375,11380569,11679742
29740,"Las Cruces, NM (Metropolitan Statistical Area)",7305489,7447694,7720349,7420783,7869402,7901515
29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",116332382,122721414,128047468,117201658,129198324,135989358
29940,"Lawrence, KS (Metropolitan Statistical Area)",4987674,5123305,5148011,5029137,5178674,5219845
30020,"Lawton, OK (Metropolitan Statistical Area)",5191990,5143664,5233018,5097650,5281857,5187670
