series_id,2017-Annual,2018-Annual,2019-Annual,2020-Annual,2021-Annual,2022-Annual
ENU3718550010,30699,32429.0,33225,35984,36712,38036
ENU3718750010,40020,41941.0,42357,41719,42866,45203
ENU3718950010,35348,35993.0,37367,40270,42057,44571
ENU3719150010,36340,37383.0,38910,41554,43583,45794
ENU3719350010,35546,36279.0,38000,39966,42215,45149
ENU3719550010,42356,44568.0,46217,47459,48769,51027
ENU3719750010,34340,36320.0,36783,38832,41308,43372
ENU3719950010,31867,36533.0,38068,39769,39351,41877
ENU3800150010,39738,42957.0,41872,45104,45252,47671
ENU3800350010,38438,39598.0,40254,43634,45168,47960
ENU3800550010,38993,39096.0,40933,44199,46010,48600
ENU3800750010,37686,43477.0,42235,43093,43487,47494
ENU3800950010,42157,43700.0,45847,45799,45058,47159
ENU3801150010,40876,42642.0,48477,44951,44346,48384
ENU3801350010,53012,54389.0,56517,58450,60610,62176
ENU3801550010,50174,51719.0,52579,55221,56325,58242
ENU3801750010,49177,50736.0,52410,56297,58982,61759
ENU3801950010,41778,43296.0,42716,46931,47370,51661
ENU3802150010,36197,36883.0,38151,40223,41789,44392
ENU3802350010,50762,53047.0,53064,49341,49821,55204
ENU3802550010,68371,73175.0,74191,70874,70874,78595
ENU3802750010,33616,32905.0,33538,36732,37189,37510
ENU3802950010,34594,36393.0,37194,38781,40990,45570
ENU3803150010,43814,44433.0,45743,47498,48597,51022
ENU3803350010,36649,35942.0,36889,38658,38723,42698
ENU3803550010,44893,46195.0,47802,50606,52073,54462
ENU3803750010,34485,34847.0,35916,38801,40125,42787
ENU3803950010,35379,37325.0,38181,42224,43444,44447
ENU3804150010,42411,44215.0,44689,47368,49133,51530
ENU3804350010,36331,36314.0,38383,42298,41109,43361
ENU3804550010,38599,38469.0,39368,41043,42395,45182
ENU3804750010,30382,30352.0,31761,34835,35077,37137
ENU3804950010,43126,44601.0,47765,46859,54264,51312
ENU3805150010,34942,35785.0,37431,40190,40869,42688
ENU3805350010,70985,76012.0,82238,78641,77191,84992
ENU3805550010,56007,57752.0,60263,63507,64492,67848
ENU3805750010,70475,70233.0,71440,70362,72483,74058
ENU3805950010,46325,45755.0,47829,50237,50031,53534
ENU3806150010,65546,66965.0,69339,67321,68983,73409
ENU3806350010,34155,34716.0,35528,38617,38943,40102
ENU3806550010,73505,75487.0,78239,81195,81588,83565
ENU3806750010,45488,46058.0,47005,49178,51854,53920
ENU3806950010,39761,42463.0,42416,45030,45125,46356
ENU3807150010,39564,39822.0,41065,43706,45662,48481
ENU3807350010,36566,37211.0,37608,40332,41782,45116
ENU3807550010,41230,39833.0,39581,42296,42655,45056
ENU3807750010,41032,41804.0,42181,45838,48033,50517
ENU3807950010,38677,39924.0,40716,44117,47730,49581
ENU3808150010,42579,44776.0,45391,47686,60098,62864
ENU3808350010,27370,26802.0,27133,28935,30343,33422
ENU3808550010,42071,43481.0,44726,49081,52714,52303
ENU3808750010,55692,62677.0,67917,57924,61548,46527
ENU3808950010,58999,61986.0,64067,61607,61408,66223
ENU3809150010,48731,49854.0,52338,52706,53707,55743
ENU3809350010,42125,43614.0,44729,47206,48698,52075
ENU3809550010,37376,39405.0,40732,43340,44899,46851
ENU3809750010,42626,43925.0,45130,48153,49941,53993
ENU3809950010,38852,40350.0,42063,46032,48658,51760
ENU3810150010,47738,49890.0,51377,52484,53164,56250
ENU3810350010,34257,35744.0,38078,41534,42511,45094
ENU3810550010,74287,79404.0,80176,74364,72792,81274
ENU3900150010,37517,38159.0,39902,42466,44412,45591
ENU3900350010,43645,45251.0,46190,48933,50828,53262
ENU3900550010,38359,38791.0,39122,42135,44145,45987
ENU3900750010,36807,37298.0,38158,40603,42392,45169
ENU3900950010,41108,41520.0,42727,45017,45878,45785
ENU3901150010,42721,44965.0,45913,47302,49169,51034
ENU3901350010,40281,41497.0,41926,41387,42478,45999
ENU3901550010,35473,35872.0,34448,36792,38703,40299
ENU3901750010,48392,49195.0,50446,54577,56242,58869
ENU3901950010,39948,36822.0,39247,40425,41557,44158
ENU3902150010,40954,41864.0,43213,44938,46486,49491
ENU3902350010,39844,40900.0,42017,44831,47497,49330
ENU3902550010,42757,44214.0,45692,48958,51903,55000
ENU3902750010,44625,47395.0,49222,53380,56627,58973
ENU3902950010,36476,37952.0,38987,42637,45445,45599
ENU3903150010,37407,38919.0,39591,43184,43410,45830
ENU3903350010,37569,38985.0,40654,43155,44787,46978
ENU3903550010,55871,57271.0,58930,63422,66586,69300
ENU3903750010,39446,39824.0,40357,43656,44907,46543
ENU3903950010,42651,42753.0,43440,45496,47284,49546
ENU3904150010,53741,55330.0,57489,62299,64317,66747
ENU3904350010,38623,38571.0,39949,43437,45103,46717
ENU3904550010,38570,38458.0,39858,43322,45732,48225
ENU3904750010,34006,35828.0,37290,40744,43152,45585
ENU3904950010,54662,56374.0,57981,62885,65410,67982
ENU3905150010,40549,41925.0,43341,45797,48366,54216
ENU3905350010,35755,38958.0,39148,40674,42726,44746
ENU3905550010,41519,43391.0,43696,46583,48915,51334
ENU3905750010,53658,55126.0,57406,61711,64332,66257
ENU3905950010,40191,41649.0,42194,44570,46498,47524
ENU3906150010,58858,60410.0,63271,68047,70278,72135
ENU3906350010,49285,50831.0,51792,57300,59229,62541
ENU3906550010,35827,36251.0,37300,39090,40303,44708
ENU3906750010,45813,48156.0,48842,48693,48166,52754
ENU3906950010,40855,41890.0,43705,47543,48883,50170
ENU3907150010,34197,35203.0,36623,40017,38903,40242
ENU3907350010,32395,32829.0,33541,35144,35905,37828
ENU3907550010,37825,39979.0,41433,44115,47594,50070
ENU3907750010,40236,42049.0,42859,45902,47322,49571
ENU3907950010,35022,35075.0,36579,40025,41020,41807
ENU3908150010,40245,41396.0,42441,43396,44144,46729
ENU3908350010,41308,43064.0,44787,45749,46450,50371
ENU3908550010,44523,45485.0,47724,50013,52342,54019
ENU3908750010,34101,35099.0,36439,39008,40967,43574
ENU3908950010,40765,42312.0,43440,45538,47306,51185
ENU3909150010,43975,46041.0,47146,48393,49293,52587
ENU3909350010,42039,43383.0,44126,47321,49181,51245
ENU3909550010,46871,48466.0,50159,53242,55419,58096
ENU3909750010,41877,43590.0,43586,46152,47545,45842
ENU3909950010,38441,39416.0,40432,43278,45434,47798
ENU3910150010,40723,41280.0,42671,45817,48163,49681
ENU3910350010,42081,43231.0,44572,48519,52573,54157
ENU3910550010,30841,31393.0,32340,34385,36251,38725
ENU3910750010,39170,40198.0,41052,43002,44595,47582
ENU3910950010,41562,43022.0,44406,47212,49205,51764
ENU3911150010,32915,35852.0,39447,51121,46621,45937
ENU3911350010,46175,47638.0,49227,52820,55057,57314
ENU3911550010,36432,37701.0,38881,40753,41549,43651
ENU3911750010,35268,35922.0,36638,39027,39810,42080
ENU3911950010,38816,40360.0,41678,45161,47105,49508
ENU3912150010,38075,39174.0,40073,42006,43373,47012
ENU3912350010,40900,43068.0,43548,46343,47666,50466
ENU3912550010,35372,37216.0,38254,40971,43108,48406
ENU3912750010,38293,40295.0,39394,41902,43479,46249
ENU3912950010,44006,45223.0,45858,49111,50915,54297
ENU3913150010,47841,49428.0,49990,52570,53597,57576
ENU3913350010,43627,44720.0,45893,48341,51650,52990
ENU3913550010,36125,39287.0,41132,44667,47717,50165
ENU3913750010,37246,38570.0,39455,42537,43453,46666
ENU3913950010,38086,39534.0,40417,43129,44959,47223
ENU3914150010,43526,44488.0,45472,48039,49711,53871
ENU3914350010,39982,41132.0,41898,44648,46714,49156
ENU3914550010,36905,38369.0,39316,41824,44737,47838
ENU3914750010,36177,37174.0,38129,41499,43577,45712
ENU3914950010,49343,50503.0,51302,53292,54934,57345
ENU3915150010,40878,42133.0,43309,45795,47985,50571
ENU3915350010,48185,49525.0,50550,53910,56791,58863
ENU3915550010,39914,41056.0,40114,42636,44801,46829
ENU3915750010,39895,39179.0,40111,42169,44552,46841
ENU3915950010,58517,58518.0,60036,63706,64932,70900
ENU3916150010,37542,39129.0,39888,42769,44865,45967
ENU3916350010,35291,35168.0,35516,37804,39240,40871
ENU3916550010,49562,52214.0,55643,59892,62529,63192
ENU3916750010,45076,46232.0,48242,50149,52657,55079
ENU3916950010,44268,45588.0,47277,49550,52451,54239
ENU3917150010,39061,40347.0,41810,43975,46083,48391
ENU3917350010,44121,46573.0,46751,49267,51277,52476
ENU3917550010,41322,44083.0,45270,48160,49404,51124
ENU4000150010,32353,32534.0,32873,34907,37383,39810
ENU4000350010,40523,43900.0,43799,43420,44352,46834
ENU4000550010,32276,32931.0,33064,33077,34796,37344
ENU4000750010,41167,46396.0,45645,41773,42793,46402
ENU4000950010,46476,50161.0,48635,45800,46611,49111
ENU4001150010,41293,42656.0,45523,42006,43866,45164
ENU4001350010,37433,38329.0,39769,42598,45923,48453
ENU4001550010,39152,41264.0,41221,42692,44069,45646
ENU4001750010,42231,46341.0,45779,43645,44477,47514
