Metropolitan Statistical Area,2019Rank,2020Rank,2021Rank
"Knoxville,TN",185.0,145.0,76.0
"Appleton,WI",186.0,189.0,252.0
"Kingston,NY",187.0,196.0,110.0
"St.Cloud,MN",188.0,210.0,129.0
"SierraVistaDouglas,AZ",189.0,30.0,372.0
"SouthBendMishawaka,INMI",190.0,318.0,214.0
"Columbia,SC",191.0,168.0,264.0
"LewistonAuburn,ME",192.0,214.0,233.0
"ChampaignUrbana,IL",193.0,128.0,193.0
"Dothan,AL",194.0,222.0,202.0
"Valdosta,GA",195.0,239.0,335.0
"Cheyenne,WY",196.0,183.0,269.0
"Burlington,NC",197.0,113.0,88.0
"Reading,PA",198.0,310.0,286.0
"RockyMount,NC",199.0,366.0,368.0
"St.Louis,MOIL",200.0,237.0,237.0
"Evansville,INKY",202.0,230.0,261.0
"Kankakee,IL",203.0,200.0,273.0
"JeffersonCity,MO",204.0,194.0,354.0
"AlbanySchenectadyTroy,NY",205.0,122.0,85.0
"UrbanHonolulu,HI",206.0,316.0,244.0
"OshkoshNeenah,WI",207.0,323.0,309.0
"Harrisonburg,VA",208.0,164.0,254.0
"Dayton,OH",209.0,279.0,245.0
"EastStroudsburg,PA",210.0,154.0,212.0
"Sheboygan,WI",211.0,224.0,330.0
"LafayetteWestLafayette,IN",212.0,199.0,250.0
"HartfordWestHartfordEastHartford,CT",213.0,286.0,241.0
"Billings,MT",214.0,171.0,172.0
"Columbus,IN",215.0,360.0,184.0
"BatonRouge,LA",216.0,356.0,328.0
"Tuscaloosa,AL",217.0,311.0,296.0
"VirginiaBeachNorfolkNewportNews,VANC",218.0,221.0,258.0
"Lima,OH",219.0,260.0,339.0
"PanamaCity,FL",220.0,148.0,143.0
"JohnsonCity,TN",221.0,150.0,99.0
"DetroitWarrenDearborn,MI",222.0,234.0,111.0
"McAllenEdinburgMission,TX",223.0,269.0,209.0
"Morristown,TN",224.0,322.0,158.0
"Albuquerque,NM",225.0,208.0,163.0
"Muncie,IN",227.0,259.0,361.0
"Amarillo,TX",228.0,229.0,257.0
"Bakersfield,CA",229.0,131.0,274.0
"NewHavenMilford,CT",230.0,155.0,106.0
"MankatoNorthMankato,MN",231.0,201.0,270.0
"LakeCharles,LA",232.0,369.0,373.0
"LaCrosseOnalaska,WIMN",233.0,188.0,302.0
"ChambersburgWaynesboro,PA",234.0,290.0,278.0
"MilwaukeeWaukeshaWestAllis,WI",235.0,241.0,224.0
"Cleveland,TN",236.0,319.0,320.0
"HotSprings,AR",237.0,207.0,292.0
"BurlingtonSouthBurlington,VT",238.0,144.0,140.0
"Florence,SC",239.0,289.0,312.0
"LittleRockNorthLittleRockConway,AR",240.0,220.0,251.0
"Gettysburg,PA",241.0,270.0,275.0
"ProvidenceWarwick,RIMA",242.0,181.0,136.0
"BlacksburgChristiansburgRadford,VA",243.0,235.0,78.0
"FondduLac,WI",244.0,299.0,301.0
"Bangor,ME",245.0,223.0,260.0
"LansingEastLansing,MI",246.0,225.0,174.0
"SanAngelo,TX",247.0,320.0,218.0
"ClevelandElyria,OH",248.0,204.0,176.0
"WichitaFalls,TX",249.0,340.0,265.0
"GrandForks,NDMN",250.0,198.0,321.0
"ElPaso,TX",251.0,215.0,249.0
"WeirtonSteubenville,WVOH",252.0,337.0,362.0
"NewBern,NC",253.0,243.0,295.0
"Lawton,OK",254.0,354.0,364.0
"Dubuque,IA",255.0,294.0,154.0
"Hammond,LA",256.0,99.0,216.0
"FlorenceMuscleShoals,AL",257.0,202.0,294.0
"BuffaloCheektowagaNiagaraFalls,NY",258.0,203.0,198.0
"SantaFe,NM",259.0,247.0,80.0
"BowlingGreen,KY",260.0,263.0,201.0
"HickoryLenoirMorganton,NC",261.0,283.0,187.0
"Greenville,NC",262.0,262.0,189.0
"YorkHanover,PA",263.0,307.0,188.0
"HomosassaSprings,FL",264.0,231.0,105.0
"Jackson,TN",265.0,206.0,190.0
"NewOrleansMetairie,LA",266.0,315.0,289.0
"Toledo,OH",267.0,297.0,221.0
"Roanoke,VA",268.0,265.0,327.0
"Brunswick,GA",269.0,267.0,165.0
"Memphis,TNMSAR",270.0,219.0,135.0
"Montgomery,AL",271.0,276.0,299.0
"Duluth,MNWI",272.0,345.0,347.0
"Morgantown,WV",273.0,184.0,334.0
"Lewiston,IDWA",274.0,120.0,246.0
"Bismarck,ND",275.0,293.0,248.0
"HagerstownMartinsburg,MDWV",276.0,159.0,271.0
"Sumter,SC",277.0,278.0,333.0
"Flint,MI",278.0,330.0,230.0
"Hattiesburg,MS",279.0,288.0,298.0
"LasCruces,NM",280.0,277.0,268.0
"Hinesville,GA",281.0,332.0,288.0
"MaconBibbCounty,GA",282.0,350.0,287.0
"WinstonSalem,NC",283.0,308.0,153.0
"Lynchburg,VA",284.0,317.0,360.0
"Binghamton,NY",285.0,285.0,197.0
"BrownsvilleHarlingen,TX",286.0,296.0,191.0
"FortSmith,AROK",287.0,347.0,282.0
"Beckley,WV",288.0,367.0,370.0
"Altoona,PA",289.0,306.0,255.0
"Texarkana,TXAR",290.0,331.0,365.0
"NorwichNewLondon,CT",291.0,305.0,157.0
"ShreveportBossierCity,LA",292.0,341.0,279.0
"Springfield,MA",293.0,209.0,173.0
"MichiganCityLaPorte,IN",294.0,304.0,316.0
"Syracuse,NY",295.0,251.0,199.0
"Racine,WI",296.0,275.0,284.0
"AnnistonOxfordJacksonville,AL",297.0,291.0,228.0
"GrandIsland,NE",298.0,268.0,232.0
"Manhattan,KS",299.0,249.0,311.0
"Casper,WY",300.0,375.0,353.0
"DavenportMolineRockIsland,IAIL",301.0,213.0,283.0
"Monroe,LA",302.0,357.0,375.0
"Columbus,GAAL",303.0,256.0,341.0
"UticaRome,NY",304.0,282.0,210.0
"Springfield,OH",305.0,336.0,146.0
"ElizabethtownFortKnox,KY",306.0,314.0,323.0
"NilesBentonHarbor,MI",307.0,157.0,336.0
"GulfportBiloxiPascagoula,MS",308.0,272.0,253.0
"Jackson,MI",309.0,248.0,150.0
"GreensboroHighPoint,NC",310.0,292.0,277.0
"Alexandria,LA",311.0,321.0,338.0
"OceanCity,NJ",312.0,69.0,16.0
"AtlanticCityHammonton,NJ",313.0,77.0,54.0
"Akron,OH",314.0,279.0,245.0
"Ithaca,NY",315.0,346.0,207.0
"BloomsburgBerwick,PA",316.0,312.0,226.0
"CantonMassillon,OH",317.0,325.0,313.0
"Rochester,NY",318.0,280.0,247.0
"VinelandBridgeton,NJ",319.0,281.0,272.0
"CarbondaleMarion,IL",320.0,339.0,306.0
"Joplin,MO",321.0,329.0,310.0
"ScrantonWilkesBarreHazleton,PA",322.0,264.0,219.0
"Fayetteville,NC",323.0,257.0,285.0
"Jackson,MS",324.0,309.0,319.0
